,0
0,Illinois
1,West Virginia
2,Arizona
3,North Carolina
4,Oregon
5,Kansas
6,Hawaii
7,Montana
8,Rhode Island
9,Georgia
10,Kentucky
11,Minnesota
12,Nebraska
13,Delaware
14,Washington
15,Virginia
16,New Hampshire
17,North Dakota
18,South Carolina
19,Vermont
20,Wisconsin
21,Maryland
22,Oklahoma
23,Alabama
24,Maine
25,Connecticut
26,Massachusetts
27,New Jersey
28,Wyoming
29,Utah
30,South Dakota
31,Michigan
32,New Mexico
33,Arkansas
34,Iowa
35,Tennessee
36,Idaho
37,Louisiana
38,Missouri
39,Florida
40,New York
41,Alaska
42,Indiana
43,Pennsylvania
44,Nevada
45,Colorado
46,Mississippi
